0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
41, Private,33,16, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Retail trade, Sales, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder,1960.96, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,-1,0
45, Private,21,2, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Manufacturing-nondurable goods, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,281, Joint both under 65, Not in universe, Not in universe, Householder, Householder,2321.55, Nonmover, Nonmover, Nonmover, Yes, Not in universe,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94,-1,1
7, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,1146.45, ?, ?, ?, Not in universe under 1 year old, ?,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,95,1,2
34, Private,45,3, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Other professional services, Executive admin and managerial, White, All other, Male, No, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder,3464.89, Nonmover, Nonmover, Nonmover, Yes, Not in universe,6, Not in universe, England, Scotland, ?, Foreign born- Not a citizen of U S ,0, Not in universe,2,52,94,-1,3
63, Local government,43,10, Bachelors degree(BA AB BS),0, Not in universe, Divorced, Education, Professional specialty, Black, All other, Female, No, Not in universe, Full-time schedules,0,0,0, Single, Not in universe, Not in universe, Nonfamily householder, Householder,2837.35, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,-1,4
57, Self-employed-incorporated,35,17, High school graduate,0, Not in universe, Married-civilian spouse present, Finance insurance and real estate, Sales, White, All other, Female, Not in universe, Not in universe, PT for non-econ reasons usually FT,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder,2981.73, ?, ?, ?, Not in universe under 1 year old, ?,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,50,95,-1,5
52, Self-employed-incorporated,39,2, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Personal services except private HH, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,5750, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder,3823.77, ?, ?, ?, Not in universe under 1 year old, ?,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, No,1,52,95,-1,6
30, Private,4,34, 9th grade,0, Not in universe, Married-civilian spouse present, Construction, Precision production craft & repair, White, All other, Male, Not in universe, Other job loser, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder,2566.5, Nonmover, Nonmover, Nonmover, Yes, Not in universe,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,24,94,1,7
29, Not in universe,0,0, Some college but no degree,0, Not in universe, Divorced, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Head of household, Not in universe, Not in universe, Householder, Householder,199.17, Nonmover, Nonmover, Nonmover, Yes, Not in universe,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,26,94,1,8
45, Not in universe,0,0, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, Black, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder,2146.09, Nonmover, Nonmover, Nonmover, Yes, Not in universe,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,48,94,-1,9
40, Private,29,38, Some college but no degree,0, Not in universe, Married-civilian spouse present, Transportation, Transportation and material moving, White, Puerto Rican, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder,1079.11, ?, ?, ?, Not in universe under 1 year old, ?,4, Not in universe, Puerto-Rico, Puerto-Rico, Puerto-Rico, Native- Born in Puerto Rico or U S Outlying,0, Not in universe,2,52,95,-1,10
50, Private,33,2, Some college but no degree,0, Not in universe, Married-civilian spouse present, Retail trade, Executive admin and managerial, White, All other, Female, No, Not in universe, Full-time schedules,0,0,0, Joint one under 65 & one 65+, Not in universe, Not in universe, Spouse of householder, Spouse of householder,184.58, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,-1,11
8, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Midwest, Oklahoma, Child <18 never marr not in subfamily, Child under 18 never married,1729.57, NonMSA to nonMSA, Same county, Same county, No, No,0, Mother only present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,94,1,12
48, State government,48,1, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Public administration, Executive admin and managerial, Black, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder,1866.92, Nonmover, Nonmover, Nonmover, Yes, Not in universe,1, Not in universe, United-States, El-Salvador, United-States, Native- Born in the United States,0, Not in universe,2,52,94,-1,13
44, Private,42,8, Prof school degree (MD DDS DVM LLB JD),0, Not in universe, Married-civilian spouse present, Medical except hospital, Professional specialty, Asian or Pacific Islander, All other, Female, No, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder,1240.88, ?, ?, ?, Not in universe under 1 year old, ?,5, Not in universe, India, India, ?, Foreign born- Not a citizen of U S ,0, Not in universe,2,52,95,-1,14
54, Private,27,2, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Manufacturing-nondurable goods, Executive admin and managerial, White, All other, Male, No, Not in universe, PT for non-econ reasons usually FT,7298,0,175, Joint both under 65, Not in universe, Not in universe, Householder, Householder,3231.72, ?, ?, ?, Not in universe under 1 year old, ?,2, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,-1,15
39, Private,45,2, Masters degree(MA MS MEng MEd MSW MBA),0, Not in universe, Married-civilian spouse present, Other professional services, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,1848,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder,866.18, Nonmover, Nonmover, Nonmover, Yes, Not in universe,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94,1,16
40, Federal government,29,25, High school graduate,0, Not in universe, Married-civilian spouse present, Transportation, Adm support including clerical, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder,449.59, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,1, Not in universe,2,52,95,-1,17
56, Not in universe,0,0, High school graduate,0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder,1645.05, ?, ?, ?, Not in universe under 1 year old, ?,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,1,18
55, Not in universe,0,0, Some college but no degree,0, Not in universe, Divorced, Not in universe or children, Not in universe, Asian or Pacific Islander, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,9098, Single, Not in universe, Not in universe, Nonfamily householder, Householder,762.35, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, Hong Kong, Hong Kong, Hong Kong, Foreign born- Not a citizen of U S ,0, Not in universe,2,34,95,-1,19
40, Private,3,6, Masters degree(MA MS MEng MEd MSW MBA),0, Not in universe, Married-civilian spouse present, Mining, Professional specialty, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder,3211.47, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,-1,20
50, Private,25,18, Bachelors degree(BA AB BS),0, Not in universe, Separated, Manufacturing-nondurable goods, Sales, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,1194, Single, Not in universe, Not in universe, Nonfamily householder, Householder,3079.88, Nonmover, Nonmover, Nonmover, Yes, Not in universe,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94,-1,21
90, Private,43,26, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Education, Adm support including clerical, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both 65+, Northeast, North Carolina, Spouse of householder, Spouse of householder,666.04, MSA to MSA, Different state same division, Different state in Northeast, No, No,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94,1,22
51, Self-employed-incorporated,42,7, Prof school degree (MD DDS DVM LLB JD),0, Not in universe, Married-civilian spouse present, Medical except hospital, Professional specialty, Asian or Pacific Islander, All other, Male, Not in universe, Not in universe, Full-time schedules,99999,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder,747.74, ?, ?, ?, Not in universe under 1 year old, ?,2, Not in universe, India, India, India, Foreign born- U S citizen by naturalization,0, Not in universe,2,52,95,-1,23
1, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,1102.96, ?, ?, ?, Not in universe under 1 year old, ?,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,95,1,24
39, Private,24,17, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Manufacturing-nondurable goods, Sales, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,800, Joint both under 65, Not in universe, Not in universe, Householder, Householder,2223.92, Nonmover, Nonmover, Nonmover, Yes, Not in universe,3, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94,-1,25
43, Private,24,17, Masters degree(MA MS MEng MEd MSW MBA),0, Not in universe, Married-civilian spouse present, Manufacturing-nondurable goods, Sales, White, All other, Female, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder,1343.48, ?, ?, ?, Not in universe under 1 year old, ?,3, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,-1,26
49, Private,45,2, Doctorate degree(PhD EdD),0, Not in universe, Never married, Other professional services, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,8000, Single, Not in universe, Not in universe, Nonfamily householder, Householder,3437.77, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,-1,27
42, Local government,40,10, Masters degree(MA MS MEng MEd MSW MBA),0, Not in universe, Never married, Entertainment, Professional specialty, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Single, Not in universe, Not in universe, Nonfamily householder, Householder,2141.59, Nonmover, Nonmover, Nonmover, Yes, Not in universe,6, Not in universe, United-States, Germany, United-States, Native- Born in the United States,0, Not in universe,2,50,94,1,28
