0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
54, Private,32,38, High school graduate,0, Not in universe, Married-civilian spouse present, Wholesale trade, Transportation and material moving, Black, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder,4652.47, Nonmover, Nonmover, Nonmover, Yes, Not in universe,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,48,94,1,0
50, Private,33,10, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Retail trade, Professional specialty, White, NA, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder,1632.37, Nonmover, Nonmover, Nonmover, Yes, Not in universe,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,40,94,-1,1
84, Not in universe,0,0, 7th and 8th grade,0, Not in universe, Widowed, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,0, Nonfiler, Not in universe, Not in universe, Householder, Householder,945.7, ?, ?, ?, Not in universe under 1 year old, ?,0, Not in universe, ?, ?, United-States, Native- Born in the United States,0, Not in universe,2,0,95,1,2
74, Private,37,42, High school graduate,0, Not in universe, Married-civilian spouse present, Business and repair services, Handlers equip cleaners etc , White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,2653,0,0, Joint both 65+, Not in universe, Not in universe, Householder, Householder,1769.59, Nonmover, Nonmover, Nonmover, Yes, Not in universe,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94,1,3
15, Not in universe,0,0, 7th and 8th grade,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,2774.35, Nonmover, Nonmover, Nonmover, Yes, Not in universe,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,94,1,4
49, Private,8,26, High school graduate,0, Not in universe, Divorced, Manufacturing-durable goods, Adm support including clerical, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Single, Not in universe, Not in universe, Nonfamily householder, Householder,1063.44, Nonmover, Nonmover, Nonmover, Yes, Not in universe,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94,1,5
41, Local government,43,32, Some college but no degree,650, Not in universe, Married-civilian spouse present, Education, Other service, White, All other, Female, Yes, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder,1477.12, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,15,95,1,6
43, Private,3,28, Associates degree-occup /vocational,0, Not in universe, Married-civilian spouse present, Mining, Protective services, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,1902,4311, Joint both under 65, Not in universe, Not in universe, Householder, Householder,2510.73, Nonmover, Nonmover, Nonmover, Yes, Not in universe,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94,-1,7
45, Private,17,2, Some college but no degree,0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Executive admin and managerial, White, Mexican-American, Male, Not in universe, Not in universe, Full-time schedules,0,0,500, Joint both under 65, Not in universe, Not in universe, Householder, Householder,1979.95, ?, ?, ?, Not in universe under 1 year old, ?,6, Not in universe, Mexico, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,-1,8
48, State government,48,1, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Public administration, Executive admin and managerial, Black, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder,1866.92, Nonmover, Nonmover, Nonmover, Yes, Not in universe,1, Not in universe, United-States, El-Salvador, United-States, Native- Born in the United States,0, Not in universe,2,52,94,-1,9
